stock,strategy,return_pct,sharpe,max_dd,trades
ADBE,Oversold_Bounce,19226.97404012,0.3579592730809989,0.7765045583732793,2
ADBE,MACDTrend,-76.14019817523457,-1.2742250736822505,0.7720781958137353,1608
ADBE,ADXTrend,-42.49414615505982,-0.5233225503428852,0.5239420347592662,1004
ADBE,RSI_Divergence,-49.71813097095231,-0.6654354445457056,0.5356848158935654,788
ADBE,Bollinger_Mean_Reversion,-51.92059524873236,-0.6051831986028715,0.5420569452953506,564
ADBE,Three_MA_Trend,-3.927653661339951,-0.03661358596664095,0.2129703030841315,332
ADBE,Dual_Moving_Average_Crossover,-39.1599785378973,-0.46862705100559937,0.5036379435225621,750
ADBE,CCI_Mean_Reversion,-48.01758968999237,-0.5674522615268979,0.5077503133247443,588
ADBE,Stochastic_RSI_Oscillator,-37.935773164605024,-0.41296108152022654,0.4109330194028048,396
ADBE,WilliamsR_Momentum,-37.62781042267498,-0.23334366762333564,0.4960630867627409,48
PYPL,Oversold_Bounce,1.0771424299999925,0.0080471085689882,0.5171513279135473,2
PYPL,MACDTrend,-33.218767489787524,-1.6853610490046635,0.3404120748978753,448
PYPL,ADXTrend,-10.899081378264878,-0.4242766238454026,0.1670650582323543,282
PYPL,RSI_Divergence,-28.43164300847496,-0.8919023380771994,0.28654709161469916,222
PYPL,Bollinger_Mean_Reversion,-25.11891606795747,-0.7989194820605516,0.2511891606795747,186
PYPL,Three_MA_Trend,3.2597837611450666,0.12438399587948216,0.0582180248629023,82
PYPL,Dual_Moving_Average_Crossover,-9.717653829464966,-0.38356712206631693,0.16090970252087738,206
PYPL,CCI_Mean_Reversion,-12.803411680592442,-0.7009345729244479,0.13630540910168173,146
PYPL,Stochastic_RSI_Oscillator,-13.272670601179998,-0.6917709822993142,0.14467271004116639,102
PYPL,WilliamsR_Momentum,-18.883946008180022,-0.06423246472106174,0.8045590366005699,12
SHOP,Oversold_Bounce,521.2749108689999,0.46180690659817997,0.768070986342955,2
SHOP,MACDTrend,-30.217336709540437,-1.0500394885963353,0.33140974168962073,444
SHOP,ADXTrend,-6.011199574856975,-0.17905792957860997,0.13378359529838227,288
SHOP,RSI_Divergence,-11.355566608179899,-0.1817101218125078,0.25989870040561186,190
SHOP,Bollinger_Mean_Reversion,-14.201725855914512,-0.43003723372109615,0.20537939610265385,152
SHOP,Three_MA_Trend,-2.386850949727974,-0.07380623847427546,0.1178412329584092,100
SHOP,Dual_Moving_Average_Crossover,8.545200304473575,0.20063889539211613,0.142250233798146,170
SHOP,CCI_Mean_Reversion,-20.042045492007556,-0.592281111618346,0.25273279643950175,144
SHOP,Stochastic_RSI_Oscillator,-16.277990918364477,-0.3867152917106906,0.26090888132165535,116
SHOP,WilliamsR_Momentum,-0.4101383000184578,-0.0019087411353281864,0.6108266866604344,12
