symbol,sharpe,return,max_dd,params
AAPL,0.014850515393139833,0.004551497184026311,0.16618254118834316,RSI(10/25/65) SMA(50/200) SL=8% TP=12%
AAPL,0.014850515393139833,0.004551497184026311,0.16618254118834316,RSI(10/25/65) SMA(50/200) SL=8% TP=15%
AAPL,0.014850515393139833,0.004551497184026311,0.16618254118834316,RSI(10/25/65) SMA(50/200) SL=10% TP=12%
AAPL,0.014850515393139833,0.004551497184026311,0.16618254118834316,RSI(10/25/65) SMA(50/200) SL=10% TP=15%
AAPL,0.032322497484044234,0.009883547218684953,0.16618254118834316,RSI(10/25/70) SMA(50/200) SL=5% TP=8%
AAPL,0.04190638270135355,0.012939042180837966,0.16618254118834316,RSI(10/25/70) SMA(50/200) SL=5% TP=10%
AAPL,0.04190638270135355,0.012939042180837966,0.16618254118834316,RSI(10/25/70) SMA(50/200) SL=5% TP=12%
AAPL,0.04190638270135355,0.012939042180837966,0.16618254118834316,RSI(10/25/70) SMA(50/200) SL=5% TP=15%
AAPL,0.04190638270135355,0.012939042180837966,0.16618254118834316,RSI(10/25/70) SMA(50/200) SL=8% TP=10%
AAPL,0.04190638270135355,0.012939042180837966,0.16618254118834316,RSI(10/25/70) SMA(50/200) SL=8% TP=12%
AAPL,0.04190638270135355,0.012939042180837966,0.16618254118834316,RSI(10/25/70) SMA(50/200) SL=8% TP=15%
AAPL,0.04190638270135355,0.012939042180837966,0.16618254118834316,RSI(10/25/70) SMA(50/200) SL=10% TP=12%
AAPL,0.04190638270135355,0.012939042180837966,0.16618254118834316,RSI(10/25/70) SMA(50/200) SL=10% TP=15%
AAPL,0.01490359812361269,0.004371791741802469,0.16618254118834316,RSI(10/25/75) SMA(50/200) SL=5% TP=8%
AAPL,0.022443434148056742,0.006546168927210925,0.16618254118834316,RSI(10/25/75) SMA(50/200) SL=5% TP=10%
AAPL,0.022443434148056742,0.006546168927210925,0.16618254118834316,RSI(10/25/75) SMA(50/200) SL=5% TP=12%
AAPL,0.022443434148056742,0.006546168927210925,0.16618254118834316,RSI(10/25/75) SMA(50/200) SL=5% TP=15%
AAPL,0.022443434148056742,0.006546168927210925,0.16618254118834316,RSI(10/25/75) SMA(50/200) SL=8% TP=10%
AAPL,0.022443434148056742,0.006546168927210925,0.16618254118834316,RSI(10/25/75) SMA(50/200) SL=8% TP=12%
AAPL,0.022443434148056742,0.006546168927210925,0.16618254118834316,RSI(10/25/75) SMA(50/200) SL=8% TP=15%
AAPL,0.022443434148056742,0.006546168927210925,0.16618254118834316,RSI(10/25/75) SMA(50/200) SL=10% TP=12%
AAPL,0.022443434148056742,0.006546168927210925,0.16618254118834316,RSI(10/25/75) SMA(50/200) SL=10% TP=15%
AAPL,0.01714899527751086,0.005246972824322103,0.1774880228544077,RSI(10/30/65) SMA(50/200) SL=5% TP=8%
AAPL,0.04806882950446125,0.015251741024914646,0.1774880228544076,RSI(10/30/65) SMA(50/200) SL=5% TP=10%
AAPL,0.04806882950446125,0.015251741024914646,0.1774880228544076,RSI(10/30/65) SMA(50/200) SL=5% TP=12%
