symbol,sharpe,return,max_dd,total_trades,final_equity,params
SPY,0.23183345420532755,0.06507761604627087,0.18348571895224638,44,138943.27182451446,RSI(14/25/70) SL=5% TP=10%
SPY,0.24140408405617306,0.06874557542840497,0.18348571895224638,44,141138.2252960455,RSI(14/25/70) SL=5% TP=12%
SPY,0.2371697949072669,0.06641100209180016,0.18348571895224638,44,139741.1869660455,RSI(14/25/70) SL=5% TP=15%
SPY,0.2371697949072669,0.06641100209180016,0.18348571895224638,44,139741.1869660455,RSI(14/25/70) SL=5% TP=20%
SPY,0.2371697949072669,0.06641100209180016,0.18348571895224638,44,139741.1869660455,RSI(14/25/70) SL=5% TP=25%
SPY,0.2371697949072669,0.06641100209180016,0.18348571895224638,44,139741.1869660455,RSI(14/25/70) SL=5% TP=30%
SPY,0.08624413076174936,0.025854647949875412,0.2043528859892627,44,115471.74964619528,RSI(14/25/70) SL=8% TP=10%
SPY,0.10355133600730573,0.03149157679897011,0.2043528859892627,44,118844.95944954242,RSI(14/25/70) SL=8% TP=12%
SPY,0.09852984344223159,0.02952575731286838,0.2043528859892627,44,117668.58810627203,RSI(14/25/70) SL=8% TP=15%
SPY,0.09852984344223159,0.02952575731286838,0.2043528859892627,44,117668.58810627203,RSI(14/25/70) SL=8% TP=20%
SPY,0.09852984344223159,0.02952575731286838,0.2043528859892627,44,117668.58810627203,RSI(14/25/70) SL=8% TP=25%
SPY,0.09852984344223159,0.02952575731286838,0.2043528859892627,44,117668.58810627203,RSI(14/25/70) SL=8% TP=30%
SPY,0.24664362507884616,0.06317848541876175,0.11970573728925417,44,137806.80794106855,RSI(14/25/70) SL=10% TP=12%
SPY,0.24664362507884616,0.06317848541876175,0.11970573728925417,44,137806.80794106855,RSI(14/25/70) SL=10% TP=15%
SPY,0.24664362507884616,0.06317848541876175,0.11970573728925417,44,137806.80794106855,RSI(14/25/70) SL=10% TP=20%
SPY,0.24664362507884616,0.06317848541876175,0.11970573728925417,44,137806.80794106855,RSI(14/25/70) SL=10% TP=25%
SPY,0.24664362507884616,0.06317848541876175,0.11970573728925417,44,137806.80794106855,RSI(14/25/70) SL=10% TP=30%
SPY,0.1606301126773851,0.038117796832800775,0.20348655463936158,44,122810.17366026332,RSI(14/25/70) SL=12% TP=15%
