batch_id,symbol,timeframe,indicator,params,sharpe,return_pct,max_dd,win_rate,trades
full_backtest_20260219_130558,US.COIN,1d,Stochastic_Momentum,{},-1.004647961560182,-0.040081694419206615,0.06983801686300999,0.18181818181818182,44
full_backtest_20260219_130558,US.CRM,5m,Stochastic_Momentum,{},-9.708412027303362,-0.18380748876386854,0.20505171012181836,0.05504587155963303,218
full_backtest_20260219_130558,US.CRM,1h,Stochastic_Momentum,{},-7.498540721229642,-0.1018247338266497,0.11968163250040918,0.13253012048192772,166
full_backtest_20260219_130558,US.CRM,1d,Stochastic_Momentum,{},-0.8423735225243699,-0.024569450409308358,0.055739792643014006,0.22916666666666666,48
full_backtest_20260219_130558,US.GOOG,5m,Stochastic_Momentum,{},-3.1453354219783876,-0.08774539597428943,0.14187079305966974,0.07547169811320754,212
full_backtest_20260219_130558,US.GOOG,1h,Stochastic_Momentum,{},-6.843413640601984,-0.1293622593147481,0.1485578622742044,0.12650602409638553,166
full_backtest_20260219_130558,US.GOOG,1d,Stochastic_Momentum,{},-0.781811202194372,-0.015597205841699324,0.04023203160786931,0.225,40
full_backtest_20260219_130558,US.GOOGL,5m,Stochastic_Momentum,{},-3.7634378128830925,-0.10625311473960675,0.1606391186902263,0.07017543859649122,228
full_backtest_20260219_130558,US.GOOGL,1h,Stochastic_Momentum,{},-6.891989008054021,-0.13038968918923755,0.1480085961579672,0.13372093023255813,172
full_backtest_20260219_130558,US.GOOGL,1d,Stochastic_Momentum,{},-0.9902486238167982,-0.02045035593680744,0.044976052106882575,0.20454545454545456,44
full_backtest_20260219_130558,US.META,5m,Stochastic_Momentum,{},-8.014706022167232,-0.09705284827455618,0.10911056412684655,0.06956521739130435,230
full_backtest_20260219_130558,US.META,1h,Stochastic_Momentum,{},-5.650465328451637,-0.07714307581347324,0.0961780137815274,0.11764705882352941,170
full_backtest_20260219_130558,US.META,1d,Stochastic_Momentum,{},0.5617042330147768,0.028800360783571177,0.03855679043878358,0.19047619047619047,42
full_backtest_20260219_130558,US.MSFT,5m,Stochastic_Momentum,{},-2.7406164359168996,-0.06450974701497525,0.11340405642043708,0.06578947368421052,228
full_backtest_20260219_130558,US.MSFT,1h,Stochastic_Momentum,{},-8.209274773186342,-0.1068630152126192,0.12145799909625953,0.09090909090909091,198
full_backtest_20260219_130558,US.MSFT,1d,Stochastic_Momentum,{},-1.2671416009483498,-0.08913703450695609,0.12092579121377654,0.21875,32
full_backtest_20260219_130558,US.MSTR,5m,Stochastic_Momentum,{},-3.979089165004617,-0.11396212025332142,0.16928436682875203,0.09482758620689655,232
full_backtest_20260219_130558,US.MSTR,1h,Stochastic_Momentum,{},-2.109040169132814,-0.07071228020239051,0.126421104732202,0.16292134831460675,178
full_backtest_20260219_130558,US.MSTR,1d,Stochastic_Momentum,{},-1.46352532187267,-0.18864063674510956,0.2319762982574005,0.2222222222222222,36
full_backtest_20260219_130558,US.MU,5m,Stochastic_Momentum,{},-1.4069164009751978,-0.1453895810528245,0.321383521506228,0.10476190476190476,210
full_backtest_20260219_130558,US.MU,1h,Stochastic_Momentum,{},-2.9297978879019455,-0.1837497639392761,0.24730458363841382,0.1267605633802817,142
full_backtest_20260219_130558,US.MU,1d,Stochastic_Momentum,{},-0.15142616118814609,-0.00534444632516462,0.045474679236470986,0.15,40
full_backtest_20260219_130558,US.NFLX,5m,Stochastic_Momentum,{},-12.948209522928506,-0.14575465900782603,0.16309442891899628,0.08260869565217391,230
full_backtest_20260219_130558,US.NFLX,1h,Stochastic_Momentum,{},-2.8723332201193816,-0.08013242542826804,0.13523085872009744,0.1358695652173913,184
full_backtest_20260219_130558,US.NFLX,1d,Stochastic_Momentum,{},0.015258019793589534,0.0007594362498228868,0.059925378099831034,0.10869565217391304,46
full_backtest_20260219_130558,US.NVDA,5m,Stochastic_Momentum,{},-11.73522520348252,-0.13677620671501922,0.15333100673602662,0.08547008547008547,234
full_backtest_20260219_130558,US.NVDA,1h,Stochastic_Momentum,{},-2.3596166275997006,-0.06529275816461999,0.12513185624304493,0.13068181818181818,176
full_backtest_20260219_130558,US.NVDA,1d,Stochastic_Momentum,{},-2.932465905684947,-0.07654585917546375,0.0864199120602118,0.125,56
full_backtest_20260219_130558,US.ORCL,5m,Stochastic_Momentum,{},-4.434273723119267,-0.11281905431734596,0.16771213899083032,0.07916666666666666,240
full_backtest_20260219_130558,US.ORCL,1h,Stochastic_Momentum,{},-6.495339744183463,-0.11372542489536108,0.13340406993508622,0.13793103448275862,174
full_backtest_20260219_130558,US.ORCL,1d,Stochastic_Momentum,{},-0.37075378719821284,-0.011511891754861892,0.037945742881908856,0.225,40
full_backtest_20260219_130558,US.QCOM,5m,Stochastic_Momentum,{},-5.726682465495072,-0.3900111151364104,0.4850590920685213,0.11165048543689321,206
full_backtest_20260219_130558,US.QCOM,1h,Stochastic_Momentum,{},-10.950822893006151,-0.14006461601811748,0.1597765763078012,0.1188118811881188,202
full_backtest_20260219_130558,US.QCOM,1d,Stochastic_Momentum,{},-1.8332357856925698,-0.040175177958067576,0.04594604073183712,0.14583333333333334,48
full_backtest_20260219_130558,US.TSLA,5m,Stochastic_Momentum,{},-12.984652622395577,-0.2373920080314934,0.31332901616677244,0.08463949843260188,638
full_backtest_20260219_130558,US.TSLA,1h,Stochastic_Momentum,{},-5.616714657721923,-0.10675827699948959,0.12275268556668782,0.17,200
full_backtest_20260219_130558,US.TSLA,1d,Stochastic_Momentum,{},-0.3202829917570827,-0.012971920791168934,0.045848988312246514,0.23076923076923078,52
full_backtest_20260219_130558,US.TSM,5m,Stochastic_Momentum,{},-9.920755757232163,-0.17508501714868807,0.19555784403588536,0.07723577235772358,246
full_backtest_20260219_130558,US.TSM,1h,Stochastic_Momentum,{},-2.858209166255094,-0.08041961841974377,0.13532954026562266,0.15584415584415584,154
full_backtest_20260219_130558,US.TSM,1d,Stochastic_Momentum,{},-0.8472821799171888,-0.01800684267640662,0.03089749668374873,0.15217391304347827,46
full_backtest_20260219_130558,US.TXN,5m,Stochastic_Momentum,{},-4.409220927206006,-0.11157855792412119,0.16573094440548305,0.05855855855855856,222
full_backtest_20260219_130558,US.TXN,1h,Stochastic_Momentum,{},-7.3159525772626965,-0.1052819348975621,0.11974672687475497,0.140625,192
full_backtest_20260219_130558,US.TXN,1d,Stochastic_Momentum,{},-0.293682824987895,-0.014439964821717721,0.06568625044803521,0.2619047619047619,42
full_backtest_20260219_130558,US.UBER,5m,Stochastic_Momentum,{},-13.5873207938523,-0.13862834588631434,0.15503653962031108,0.08547008547008547,234
full_backtest_20260219_130558,US.UBER,1h,Stochastic_Momentum,{},-8.15614238293951,-0.10858832501569948,0.1251013903191086,0.13978494623655913,186
full_backtest_20260219_130558,US.UBER,1d,Stochastic_Momentum,{},-0.4034687528550711,-0.06636663215088934,0.2149256284186246,0.17647058823529413,34
