symbol,strategy,params,sharpe,return,max_dd,total_trades,final_equity
AAPL,RSIStrategy,RSI(14/35/75),0.7747423927906895,0.18616134616262134,0.1810941747527201,33,211401.31349731467
AAPL,RSIStrategy,RSI(14/35/75),0.8440992543674046,0.21265296910838913,0.18109417475272002,33,227254.23706962334
AAPL,RSIStrategy,RSI(14/35/75),0.7664217764524849,0.15460773919898188,0.23938117929308364,29,192519.23440954948
AAPL,RSIStrategy,RSI(14/35/75),1.326552524812163,0.29937846710475724,0.22959028581135382,28,279151.876346815
AAPL,RSIStrategy,RSI(14/35/75),1.4421137031764046,0.34654409321133045,0.22152172638777462,28,307376.38593757397
AAPL,RSIStrategy,RSI(14/40/70),0.16877328703165742,0.03814522268789897,0.4326072862000998,37,122826.58564021891
AAPL,RSIStrategy,RSI(14/40/70),0.4372434265820714,0.10912855199773742,0.3435369593520268,37,165303.91127483652
AAPL,RSIStrategy,RSI(14/40/70),0.47014066387614284,0.11973402239095565,0.3292586003530466,36,171650.35943077822
AAPL,RSIStrategy,RSI(14/40/70),0.39163092110375053,0.08488600124205431,0.26646213656465023,34,150796.8610607214
AAPL,RSIStrategy,RSI(14/40/70),0.9201906203762226,0.21964322321151278,0.23772823036489477,34,231437.293890064
AAPL,RSIStrategy,RSI(14/40/70),0.91683744088936,0.23236821030436924,0.23772823036489482,33,239052.087753567
AAPL,RSIStrategy,RSI(14/40/75),0.37274823444280847,0.08527325865829442,0.36334318608368893,37,151028.60081615398
AAPL,RSIStrategy,RSI(14/40/75),0.7159537597935369,0.18161749360615856,0.3309893494987846,36,208682.21442781235
AAPL,RSIStrategy,RSI(14/40/75),0.7318539721157306,0.189079023465513,0.3292586003530466,35,213147.28864523556
AAPL,RSIStrategy,RSI(14/40/75),0.6648618972595295,0.14658984078135007,0.23849033186081942,34,187721.22218185553
AAPL,RSIStrategy,RSI(14/40/75),1.3136811054627062,0.3185085646476604,0.20866072324042328,33,290599.56963836186
AAPL,RSIStrategy,RSI(14/40/75),1.173851241810012,0.3004829642850474,0.2086607232404233,32,279812.82148486166
TSLA,RSIStrategy,RSI(14/30/70),-0.09926694212272334,-0.03088595064552002,0.44376239022383734,45,81517.45493117294
TSLA,RSIStrategy,RSI(14/30/70),0.0891866536390763,0.03114628795258443,0.5166339365446774,44,118638.33421924496
TSLA,RSIStrategy,RSI(14/30/70),0.005715636341157018,0.002039001706887661,0.5428554699834678,43,101220.16451348674
TSLA,RSIStrategy,RSI(14/30/70),-0.011180991685784687,-0.0036853441209120244,0.4055912387927751,41,97794.64328002566
TSLA,RSIStrategy,RSI(14/30/70),0.25791472928869635,0.09504094056067573,0.4748287999500295,41,156873.70570059484
TSLA,RSIStrategy,RSI(14/30/70),0.3701853309551204,0.13616662461002157,0.36323581420514056,38,181483.83726663195
TSLA,RSIStrategy,RSI(14/30/75),-0.09926694212272334,-0.03088595064552002,0.44376239022383734,45,81517.45493117294
TSLA,RSIStrategy,RSI(14/30/75),0.0891866536390763,0.03114628795258443,0.5166339365446774,44,118638.33421924496
TSLA,RSIStrategy,RSI(14/30/75),0.005715636341157018,0.002039001706887661,0.5428554699834678,43,101220.16451348674
TSLA,RSIStrategy,RSI(14/30/75),-0.011180991685784687,-0.0036853441209120244,0.4055912387927751,41,97794.64328002566
TSLA,RSIStrategy,RSI(14/30/75),0.25791472928869635,0.09504094056067573,0.4748287999500295,41,156873.70570059484
TSLA,RSIStrategy,RSI(14/30/75),0.3701853309551204,0.13616662461002157,0.36323581420514056,38,181483.83726663195
TSLA,RSIStrategy,RSI(14/35/70),-0.1888823293372935,-0.07000677264474912,0.6202771499393736,63,58107.0582744914
TSLA,RSIStrategy,RSI(14/35/70),-0.16961895242658748,-0.06418806690618024,0.5999800322387646,57,61589.04567677785
TSLA,RSIStrategy,RSI(14/35/70),-0.20783039835187805,-0.08105387228704705,0.6895338193499921,54,51496.33356790994
TSLA,RSIStrategy,RSI(14/35/70),-0.1557930359320668,-0.059431693743638395,0.6003517331842319,56,64435.319775632255
TSLA,RSIStrategy,RSI(14/35/70),-0.08612927023751947,-0.03502527414365021,0.5977020103293584,53,79040.43118705376
TSLA,RSIStrategy,RSI(14/35/70),-0.008413210942264627,-0.0034323247603473502,0.5691654394681916,51,97946.05327833182
TSLA,RSIStrategy,RSI(14/35/75),-0.1888823293372935,-0.07000677264474912,0.6202771499393736,63,58107.0582744914
TSLA,RSIStrategy,RSI(14/35/75),-0.16961895242658748,-0.06418806690618024,0.5999800322387646,57,61589.04567677785
TSLA,RSIStrategy,RSI(14/35/75),-0.20783039835187805,-0.08105387228704705,0.6895338193499921,53,51496.33356790994
TSLA,RSIStrategy,RSI(14/35/75),-0.1557930359320668,-0.059431693743638395,0.6003517331842319,56,64435.319775632255
TSLA,RSIStrategy,RSI(14/35/75),-0.08612927023751947,-0.03502527414365021,0.5977020103293584,53,79040.43118705376
