Date,Open,High,Low,Close,Volume
2024-04-02,124.51,124.93,123.43,124.34,4862415
2024-04-03,124.26,126.405,124.06,126.24,7429977
2024-04-04,127.6,127.99,124.03,124.19,7588298
2024-04-05,124.42,125.995,124.14,124.9,4899499
2024-04-08,125.0,125.115,123.76,124.35,6119225
2024-04-09,124.35,124.75,121.24,123.23,5564905
2024-04-10,121.35,123.08,121.32,121.75,4509869
2024-04-11,121.72,123.82,121.36,123.24,7315241
2024-04-12,121.74,121.84,120.415,121.11,6196877
2024-04-15,122.18,122.47,119.44,119.88,5101455
2024-04-16,120.09,121.4426,119.75,120.62,6999959
2024-04-17,120.98,121.04,118.61,118.67,5366587
2024-04-18,118.76,118.76,115.7,116.0,6662406
2024-04-19,116.12,116.76,114.46,114.89,8250245
2024-04-22,116.03,116.335,114.34,114.53,7125490
2024-04-23,115.17,115.86,114.75,115.09,5494823
2024-04-24,115.38,115.73,113.88,115.34,5791761
2024-04-25,113.63,114.99,112.78,114.89,6796627
2024-04-26,117.04,119.21,116.15,117.21,8355111
2024-04-29,116.99,117.31,115.29,116.49,5190565
2024-04-30,115.09,115.52,113.69,113.75,6234710
2024-05-01,113.91,116.76,113.65,114.63,5583638
2024-05-02,115.23,115.81,114.26,114.96,5001045
2024-05-03,115.98,116.21,115.07,115.8,4484976
2024-05-06,116.33,118.36,116.18,118.34,6052397
2024-05-07,118.0,119.129,117.29,117.93,6437743
2024-05-08,117.71,117.98,117.11,117.39,4635960
2024-05-09,117.39,117.7256,116.5,116.64,3236316
2024-05-10,117.15,117.63,115.91,116.67,4122531
2024-05-13,117.13,117.19,116.195,116.37,4139953
2024-05-14,116.5,122.55,116.13,120.87,17811221
2024-05-15,120.17,122.09,119.67,121.63,6604632
2024-05-16,121.94,122.45,121.21,122.16,5159256
2024-05-17,123.18,123.58,122.08,123.5,6179367
2024-05-20,123.8,124.68,123.24,124.52,5989022
2024-05-21,124.46,125.36,123.92,124.63,5549456
2024-05-22,124.63,125.16,123.295,124.6,5705042
2024-05-23,126.55,126.7,123.16,124.09,6108584
2024-05-24,123.42,123.51,121.42,122.91,7173435
2024-05-28,123.24,124.82,123.011,124.49,6911394
2024-05-29,122.99,123.92,122.77,123.74,4735091
2024-05-30,120.17,121.44,117.03,117.09,10851552
2024-05-31,116.59,117.4175,114.55,117.19,12755639
2024-06-03,117.53,119.33,117.34,119.28,7256308
2024-06-04,119.02,120.37,118.72,120.07,7367975
2024-06-05,121.65,122.79,120.5077,122.63,5973706
2024-06-06,122.88,124.27,122.25,123.5,7347249
2024-06-07,124.21,126.22,123.27,125.92,11544957
2024-06-10,125.73,126.95,124.05,124.5,10190447
2024-06-11,124.05,124.83,122.29,123.88,18373935
2024-06-12,134.69,140.955,133.96,140.38,40871317
2024-06-13,140.43,142.4,138.77,139.85,13733247
2024-06-14,139.26,139.97,137.38,138.13,11330789
2024-06-17,138.8,141.44,138.25,141.31,11232754
2024-06-18,141.22,145.06,141.22,144.64,11629395
2024-06-20,145.32,145.32,141.95,142.91,8940005
2024-06-21,143.72,143.72,140.44,141.5,14930875
2024-06-24,140.0,141.53,139.12,139.89,7793293
2024-06-25,139.0,139.55,137.56,139.17,8469641
2024-06-26,139.49,140.745,138.08,138.23,8036309
2024-06-27,139.25,141.42,138.81,140.18,7518199
2024-06-28,139.435,142.82,139.27,141.2,25814821
2024-07-01,141.69,144.055,141.07,143.09,6552353
2024-07-02,142.63,144.22,142.55,143.28,5920529
2024-07-03,143.75,144.65,143.5,144.38,3560778
2024-07-05,144.95,145.785,144.02,144.83,5365527
2024-07-08,144.76,145.23,143.43,145.03,8622633
2024-07-09,145.13,145.6999,138.0,140.68,14340040
2024-07-10,141.12,142.38,139.735,142.07,6350258
2024-07-11,142.36,143.48,141.6784,142.76,5246402
2024-07-12,142.71,145.13,141.26,144.77,7361770
2024-07-15,145.73,146.59,141.92,143.07,8687837
2024-07-16,143.33,143.5,142.05,142.61,7181470
2024-07-17,140.48,141.79,138.6801,139.26,9157003
2024-07-18,139.36,140.06,137.202,138.03,5998726
2024-07-19,138.35,140.44,138.08,138.56,6111941
2024-07-22,139.74,140.68,139.12,140.17,5387176
2024-07-23,141.3,143.22,141.21,143.11,6697410
2024-07-24,141.7,142.66,138.4,138.77,8018807
2024-07-25,140.15,141.07,137.7,137.82,7654625
2024-07-26,138.87,139.96,138.38,139.01,5139377
2024-07-29,139.27,139.78,137.825,138.31,4054647
2024-07-30,139.07,139.565,134.96,135.67,6505701
2024-07-31,139.69,141.55,138.66,139.45,7188043
2024-08-01,139.29,140.39,135.77,137.51,5906808
2024-08-02,132.77,134.3,131.8,133.28,8251585
2024-08-05,127.61,129.97,126.6639,127.86,10354987
2024-08-06,130.54,131.0375,128.08,128.21,8373891
2024-08-07,128.92,130.3,125.75,125.9,8617652
2024-08-08,128.0,129.82,127.65,128.96,6243219
2024-08-09,128.4,132.37,128.34,132.06,5597278
2024-08-12,132.25,132.71,131.21,132.58,5600826
2024-08-13,132.97,134.54,132.81,134.26,4324038
2024-08-14,134.04,135.97,134.01,135.6,4044630
2024-08-15,136.93,137.25,135.72,136.93,4698128
2024-08-16,136.79,137.82,136.39,137.47,4893787
2024-08-19,137.53,137.95,136.455,137.92,3641585
2024-08-20,137.82,139.79,137.82,139.17,3738261
2024-08-21,138.8,140.3,138.55,140.2,3776768
2024-08-22,140.7,141.08,137.65,138.08,5162189
2024-08-23,138.73,139.79,137.26,139.19,4544571
2024-08-26,139.39,139.4,138.19,138.9,2729605
2024-08-27,137.85,139.5,137.74,138.48,3872342
2024-08-28,138.83,138.95,136.91,137.88,3022639
2024-08-29,139.14,141.16,138.85,139.42,4588361
2024-08-30,140.33,141.72,140.095,141.29,7980679
2024-09-03,140.45,142.2,138.83,139.5,6831174
2024-09-04,138.44,141.1009,137.95,140.75,6243325
2024-09-05,141.4,143.28,140.305,142.61,8733246
2024-09-06,143.79,143.94,139.4,141.81,11154796
2024-09-09,142.49,143.3,139.51,139.89,20233428
2024-09-10,154.23,160.52,153.12,155.89,37374210
2024-09-11,156.78,159.44,154.8401,157.18,12630122
2024-09-12,159.04,162.34,157.9,161.38,16352048
2024-09-13,173.7,173.935,161.0,162.03,25727805
2024-09-16,164.99,173.99,164.51,170.33,27384374
2024-09-17,170.28,170.64,166.77,167.47,12580114
2024-09-18,167.62,167.62,163.73,164.53,12274414
2024-09-19,167.25,168.16,164.51,167.59,10075884
2024-09-20,167.13,168.83,166.6,168.0,12187736
2024-09-23,167.225,167.33,164.26,165.95,7916081
2024-09-24,165.74,166.1,163.92,165.8,6155076
2024-09-25,167.69,168.75,165.66,166.28,7142437
2024-09-26,167.65,168.36,166.48,168.1,7096842
2024-09-27,168.09,169.1098,166.51,168.74,8974377
2024-09-30,169.5,170.52,166.45,170.4,10218973
2024-10-01,170.22,170.51,165.97,167.16,7595053
2024-10-02,167.6,169.18,167.27,167.71,7073025
2024-10-03,166.89,167.86,166.24,166.86,4735708
2024-10-04,168.71,170.9,168.165,170.86,6389504
2024-10-07,170.42,172.33,169.55,169.97,6790956
2024-10-08,170.6,174.64,170.442,174.37,7845377
2024-10-09,174.56,178.61,173.81,178.29,8120894
2024-10-10,177.65,178.3,174.1801,175.41,7115887
2024-10-11,175.495,177.0,174.4,175.77,5869413
2024-10-14,176.55,177.22,175.5,176.12,4688662
2024-10-15,176.94,178.2199,173.75,174.09,5848630
2024-10-16,173.5,174.912,171.64,174.77,6383034
2024-10-17,177.5,177.75,175.14,175.68,5473951
2024-10-18,176.8,176.97,174.58,174.69,5001257
2024-10-21,174.45,175.15,173.16,173.76,4198362
2024-10-22,175.45,175.85,174.28,175.31,5510114
2024-10-23,174.5,176.07,173.01,173.1,4830414
2024-10-24,173.315,174.95423,172.91,174.38,3488036
2024-10-25,174.78,176.29,173.1,173.52,3674717
2024-10-28,174.045,174.17,172.135,172.42,4329971
2024-10-29,172.29,174.0231,172.29,173.43,4122913
2024-10-30,173.98,176.16,172.79,174.56,5822451
2024-10-31,170.52,170.88,167.3975,167.84,9477476
2024-11-01,170.15,172.27,169.1,170.02,5680595
2024-11-04,170.31,170.48,168.73,169.59,4804405
2024-11-05,170.47,171.89,170.32,171.78,5456754
2024-11-06,178.52,182.1,177.4153,181.24,11084987
2024-11-07,181.08,186.67,180.54,186.37,7759399
2024-11-08,186.26,190.16,186.26,189.25,8520419
2024-11-11,191.195,191.5,187.84,189.13,5973638
2024-11-12,189.15,190.61,187.2,189.58,6629891
2024-11-13,189.06,191.77,188.7895,189.63,5695426
2024-11-14,188.66,189.59,186.71,187.05,7804318
2024-11-15,185.635,185.8,182.33,183.74,8986276
2024-11-18,184.7,186.18,182.88,185.73,6291406
2024-11-19,184.89,189.32,184.32,188.9,8116958
2024-11-20,190.9,190.97,187.82,190.75,4860222
2024-11-21,191.94,196.04,191.6401,192.43,11394263
2024-11-22,193.0,194.2,191.06,192.29,6879447
2024-11-25,194.5,194.75,187.99,187.99,15138474
2024-11-26,188.32,192.4,188.32,190.37,6427210
2024-11-27,188.955,188.955,182.22,182.7,8368797
2024-11-29,184.265,185.93,184.0,184.84,4628044
2024-12-02,185.29,185.29,181.0,181.41,8859696
2024-12-03,181.18,183.04,179.11,182.89,8917062
2024-12-04,188.0,189.79,185.9,188.19,8906283
2024-12-05,189.02,189.02,185.85,186.24,6398073
2024-12-06,187.0,192.63,186.38,191.69,10503383
2024-12-09,196.3,198.3099,188.93,190.45,20157957
2024-12-10,173.46,177.8,171.0592,177.74,26502016
2024-12-11,178.0,181.38,174.8301,178.58,13188714
2024-12-12,178.0,178.1699,174.81,175.32,8154218
2024-12-13,175.0,176.14,171.64,173.39,8351106
2024-12-16,174.08,174.27,170.93,171.23,9571955
2024-12-17,170.75,172.99,169.27,169.71,8940204
2024-12-18,169.41,171.23,165.36,165.41,8817934
2024-12-19,167.43,171.0,167.4,168.79,8386394
2024-12-20,167.37,171.26,165.63,169.66,13810525
2024-12-23,169.59,169.62,167.1683,169.14,6518229
2024-12-24,169.7,171.77,169.03,171.41,2451547
2024-12-26,170.5,172.55,170.5,171.68,4103882
2024-12-27,170.38,171.15,167.2,168.96,4344287
2024-12-30,166.51,167.91,164.55,166.91,5254833
2024-12-31,167.2,167.3,165.84,166.64,4307524
2025-01-02,168.52,168.69,164.9,166.03,5365667
2025-01-03,166.24,167.2,165.27,166.32,5878052
2025-01-06,167.31,168.05,165.19,165.69,6845373
2025-01-07,165.58,166.16,161.32,162.03,7712222
2025-01-08,162.18,163.98,161.43,163.14,7596214
2025-01-10,159.2,159.2,153.92,154.5,13593882
2025-01-13,153.74,154.15,152.42,153.92,8828492
2025-01-14,156.42,157.25,154.35,156.31,7410242
2025-01-15,158.665,159.1495,157.26,158.31,10701234
2025-01-16,159.85,161.5,158.41,159.54,9210555
2025-01-17,161.77,163.16,160.54,161.03,11618283
2025-01-21,163.87,173.37,162.75,172.57,30232048
2025-01-22,191.56,191.99,180.57,184.22,48028518
2025-01-23,182.29,186.57,181.5,186.47,17314645
2025-01-24,188.64,189.1,181.87,183.6,12147180
2025-01-27,168.9,172.52,152.66,158.28,42201592
2025-01-28,162.99,165.825,156.75,164.0,20319300
2025-01-29,164.025,164.025,160.01,162.02,9866583
2025-01-30,164.75,171.49,164.1,170.38,14981706
2025-01-31,170.41,173.0,169.1296,170.06,8722470
2025-02-03,163.2,169.9,163.2,168.6,8250588
2025-02-04,170.4,170.4,166.35,167.89,6776982
2025-02-05,168.99,171.89,168.52,171.66,7866650
