Date,Open,High,Low,Close,Volume
2024-08-13,151.053,155.867,149.319,155.648,22126139.745862
2024-08-14,157.502,159.725,154.213,157.173,20250586.150558
2024-08-15,160.672,166.124,159.809,165.585,28036880.827353
2024-08-16,163.931,165.546,162.147,165.177,19360336.660867
2024-08-19,164.32,167.28,159.894,167.16,20508925.058586
2024-08-20,166.502,167.818,163.612,165.406,19481359.40767
2024-08-21,164.579,165.924,162.346,165.237,16150639.365066
2024-08-22,170.28,171.855,160.961,161.808,30143350.43066
2024-08-23,164.484,167.728,162.924,165.815,18910014.377019
2024-08-26,164.419,165.157,158.14,159.097,18582070.2835
2024-08-27,157.083,161.499,155.319,160.861,16737977.826709
2024-08-28,159.555,161.748,155.738,157.661,18123034.434119
2024-08-29,157.97,162.665,154.901,156.416,23596642.469815
2024-08-30,160.592,162.705,158.19,162.286,25241257.984757
2024-09-03,159.854,160.213,150.884,152.289,37301345.36314
2024-09-04,149.807,157.273,148.661,153.615,20390909.169112
2024-09-05,150.071,155.847,149.618,152.319,31652302.201467
2024-09-06,142.78,143.03,136.152,136.546,76886686.309975
2024-09-09,138.654,141.121,134.458,140.358,39646663.981091
2024-09-10,140.757,149.369,140.578,147.724,36186101.27751
2024-09-11,147.904,158.349,144.565,157.751,39831344.415804
2024-09-12,157.582,165.775,156.316,164.021,43725260.77527
2024-09-13,166.188,167.529,163.502,167.14,29948226.760065
2024-09-16,164.648,164.957,159.884,163.482,26212867.194627
2024-09-17,164.947,165.476,160.173,161.937,19909612.341947
2024-09-18,163.233,166.921,160.831,161.14,26644909.551704
2024-09-19,167.68,170.0,165.66,167.42,32453057.0
2024-09-20,167.18,172.02,166.47,171.1,91758507.0
2024-09-23,172.0,173.32,168.3501,172.94,29431112.0
2024-09-24,172.81,175.99,171.68,174.84,34223405.0
2024-09-25,174.65,177.14,173.76,175.52,16613795.0
2024-09-26,178.5,180.25,175.0,178.09,24339996.0
2024-09-27,178.17,178.47,171.76,172.69,20580905.0
2024-09-30,171.87,172.92,169.6302,172.5,16900033.0
2024-10-01,172.16,172.25,165.8,167.47,23770416.0
2024-10-02,167.55,172.84,167.0201,170.66,14317834.0
2024-10-03,169.62,174.94,169.19,171.89,13072281.0
2024-10-04,176.3,176.8998,172.6,176.64,17941387.0
2024-10-07,174.82,178.31,173.86,175.08,15588333.0
2024-10-08,175.42,181.6,174.89,180.73,20774189.0
2024-10-09,179.24,186.42,176.42,185.95,25504058.0
2024-10-10,183.56,186.31,182.53,185.69,16317969.0
2024-10-11,181.14,182.59,177.4,181.48,23070023.0
2024-10-14,183.3,184.95165,180.13,182.31,17195824.0
2024-10-15,180.79,181.7,173.3652,175.98,27657529.0
2024-10-16,178.51,179.25,175.33,176.82,15285054.0
2024-10-17,181.37,185.51,180.69,181.53,25232427.0
2024-10-18,182.32,182.71,178.68,179.89,17835247.0
2024-10-21,179.38,181.7199,178.25,179.99,13695149.0
2024-10-22,178.66,180.69,177.41,179.38,12062648.0
2024-10-23,177.585,178.98,172.57,173.51,19513713.0
2024-10-24,174.26,174.3,169.5,171.35,20485174.0
2024-10-25,174.19,176.796,172.72,173.0,19977679.0
2024-10-28,173.0,173.9728,171.345,172.02,13195829.0
2024-10-29,172.435,180.23,171.2101,179.24,23702344.0
2024-10-30,177.47,179.19,175.62,176.64,17911488.0
2024-10-31,174.45,174.45,167.38,169.77,26086587.0
2024-11-01,168.26,171.3255,167.5,168.92,17847038.0
2024-11-04,169.28,172.45,168.42,168.55,13621310.0
2024-11-05,170.05,174.4,170.05,173.9,13441752.0
2024-11-06,179.63,180.21,175.96,179.55,24300758.0
2024-11-07,181.9853,184.8722,181.79,183.81,18970581.0
2024-11-08,182.99,185.05,181.83,183.64,13503154.0
2024-11-11,183.4,183.63,176.8201,178.91,17036660.0
2024-11-12,178.91,179.56,173.2,176.22,15861981.0
2024-11-13,174.705,175.5926,172.6,173.58,17472513.0
2024-11-14,174.77,175.57,169.87,170.38,20638855.0
2024-11-15,168.47,169.135,163.43,164.84,20836160.0
2024-11-18,165.66,166.3463,162.22,165.67,17870329.0
2024-11-19,166.66,166.8,164.31,165.35,18003401.0
2024-11-20,165.54,165.54,160.86,163.25,17196728.0
2024-11-21,166.25,166.34,160.6,163.94,24835252.0
2024-11-22,164.3,164.9092,162.4,164.23,17332473.0
2024-11-25,165.395,167.225,162.89,164.82,26850591.0
2024-11-26,164.6,166.37,162.69,164.74,16308772.0
2024-11-27,163.2,163.2,157.54,159.67,19722723.0
2024-11-29,159.57,162.69,159.08,162.08,11024005.0
2024-12-02,162.95,168.3797,162.75,166.51,21472442.0
2024-12-03,164.48,168.27,164.03,168.15,17024434.0
2024-12-04,173.44,175.39,168.56,170.56,32748246.0
2024-12-05,170.75,172.3981,169.2,170.47,18489993.0
2024-12-06,170.1,180.68,169.3301,179.53,27830828.0
2024-12-09,178.95,180.7933,176.0209,178.94,20886305.0
2024-12-10,177.81,178.5,169.73,171.81,27762632.0
2024-12-11,180.01,184.87,176.4296,183.2,41295179.0
2024-12-12,180.93,182.0,175.99,180.66,46967170.0
2024-12-13,213.9,228.7,211.11,224.8,121336628.0
2024-12-16,231.79,251.88,230.81,250.0,111623166.0
2024-12-17,240.65,242.47,233.8,240.23,70382134.0
2024-12-18,239.41,239.85,219.22,223.62,53960103.0
2024-12-19,227.91,228.05,217.58,218.32,40845167.0
2024-12-20,220.36,230.29,218.91,220.79,131910354.0
2024-12-23,226.69,233.3994,225.13,232.35,40643778.0
2024-12-24,240.115,240.228,234.8,239.68,22827188.0
2024-12-26,240.0,247.28,237.6,245.36,28537540.0
2024-12-27,245.64,245.78,236.3532,241.75,29282230.0
2024-12-30,234.695,238.77,231.62,235.58,27316797.0
2024-12-31,235.88,237.46,231.31,231.84,17927719.0
2025-01-02,236.155,239.5,230.2425,231.98,31525830.0
2025-01-03,233.59,236.4893,229.0,232.55,24973192.0
2025-01-06,236.5,241.75,233.3,236.41,34028377.0
2025-01-07,239.5,239.5,227.6,228.64,25928606.0
2025-01-08,229.7,232.47,226.06,229.31,18756487.0
2025-01-10,227.3,227.83,221.25,224.31,23864005.0
2025-01-13,219.99,229.26,219.51,225.29,23772091.0
2025-01-14,226.57,230.26,223.1,224.7,18143124.0
2025-01-15,228.55,230.34,225.58,228.0,21745616.0
2025-01-16,235.22,238.6,229.21,229.41,23471871.0
2025-01-17,237.08,238.1,232.66,237.44,31196642.0
2025-01-21,241.5,242.75,237.4,240.31,30903186.0
2025-01-22,246.75,246.99,240.69,240.91,29610501.0
2025-01-23,238.41,240.4,236.12,240.28,17653942.0
2025-01-24,244.7,249.59,241.91,244.7,25387825.0
2025-01-27,213.4,218.43,196.23,202.13,90569376.0
2025-01-28,208.01,209.95,198.89,207.36,50315987.0
2025-01-29,208.84,211.45,202.77,206.35,32533735.0
2025-01-30,218.57,221.96,213.7,215.66,42449478.0
2025-01-31,219.66,226.8,216.3,221.27,41150975.0
2025-02-03,215.46,220.9377,213.51,217.73,24507274.0
2025-02-04,219.35,223.03,215.3,222.43,23768517.0
2025-02-05,233.94,237.9299,227.5,232.0,29250582.0
